%
order F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 F0-AR-ML-A2 Naive
1.00000 0.00170 0.00115 0.00031 0.00092 0.52996 
2.00000 0.00274 0.00179 0.00066 0.00179 0.81269 
3.00000 0.00434 0.00252 0.00085 0.00232 1.15552 
4.00000 0.00621 0.00315 0.00115 0.00297 1.48504 
5.00000 0.00822 0.00393 0.00157 0.00365 1.96332 
6.00000 0.01043 0.00496 0.00196 0.00436 2.32950 
7.00000 0.01309 0.00597 0.00243 0.00523 2.99929 
8.00000 0.01606 0.00688 0.00282 0.00590 3.38671 
9.00000 0.02007 0.00785 0.00331 0.00652 4.03390 
10.00000 0.02212 0.00895 0.00383 0.00743 4.53183 
11.00000 0.02590 0.01000 0.00442 0.00820 5.32692 
12.00000 0.02992 0.01114 0.00493 0.00905 5.91768 
13.00000 0.03432 0.01246 0.00545 0.00970 6.90735 
14.00000 0.03820 0.01366 0.00607 0.01055 7.70048 
15.00000 0.04732 0.01487 0.00695 0.01151 8.99620 
