%
order F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 F0-AR-ML-A2 Naive
1.00000 0.00113 0.00062 0.00028 0.00050 0.21609 
2.00000 0.00328 0.00191 0.00070 0.00168 0.80840 
3.00000 0.00431 0.00244 0.00085 0.00231 1.15049 
4.00000 0.00943 0.00531 0.00175 0.00514 3.02726 
5.00000 0.01088 0.00613 0.00189 0.00624 3.78787 
6.00000 0.01344 0.00675 0.00204 0.00726 4.71766 
7.00000 0.02964 0.01647 0.00447 0.01739 10.47849 
8.00000 0.03335 0.01719 0.00467 0.01954 12.53983 
9.00000 0.03229 0.01860 0.00463 0.02071 13.92007 
10.00000 0.03818 0.02020 0.00473 0.02306 14.87072 
11.00000 0.04115 0.02130 0.00485 0.02653 16.26250 
12.00000 0.04138 0.02283 0.00502 0.02597 19.62092 
13.00000 0.09047 0.05727 0.01087 0.06668 42.07983 
14.00000 0.08730 0.05138 0.01092 0.07813 46.05823 
15.00000 0.10228 0.05432 0.01103 0.08541 49.30105 
