%
freq per preWhitenedPer modelledPsd
0.00000 -47.37617 -74.69533 -31.29941 
1.07666 -49.35184 -76.66117 -31.30924 
2.15332 -51.16014 -78.44012 -31.33859 
3.22998 -45.22670 -72.45820 -31.38707 
4.30664 -41.43677 -68.60133 -31.45402 
5.38330 -39.94682 -67.02682 -31.53857 
6.45996 -39.86337 -66.84226 -31.63967 
7.53662 -40.17258 -67.03501 -31.75614 
8.61328 -40.03903 -66.77094 -31.88666 
9.68994 -39.91507 -66.50376 -32.02988 
10.76660 -40.78973 -67.22388 -32.18441 
11.84326 -43.41720 -69.68688 -32.34888 
12.91992 -49.06701 -75.16361 -32.52197 
13.99658 -50.17816 -76.09434 -32.70238 
15.07324 -41.04171 -66.77136 -32.88892 
16.14990 -35.29448 -60.83257 -33.08048 
17.22656 -31.55378 -56.89631 -33.27604 
18.30322 -29.36019 -54.50410 -33.47465 
19.37988 -28.59814 -53.54120 -33.67550 
20.45654 -29.31609 -54.05683 -33.87783 
21.53320 -31.66481 -56.20239 -34.08099 
22.60986 -35.33490 -59.66907 -34.28440 
23.68652 -37.00617 -61.13717 -34.48756 
24.76318 -35.83008 -59.75862 -34.69003 
25.83984 -35.07746 -58.80460 -34.89143 
26.91650 -33.87948 -57.40660 -35.09145 
27.99316 -31.98599 -55.31474 -35.28981 
29.06982 -31.05878 -54.19105 -35.48630 
30.14648 -32.17416 -55.11202 -35.68071 
31.22314 -36.66233 -59.40799 -35.87290 
32.29980 -56.35602 -78.91185 -36.06274 
33.37646 -39.49718 -61.86562 -36.25012 
34.45312 -35.12181 -57.30540 -36.43498 
35.52979 -34.51034 -56.51166 -36.61725 
36.60645 -35.89877 -57.72045 -36.79690 
37.68311 -39.99380 -61.63849 -36.97388 
38.75977 -63.14670 -84.61707 -37.14820 
39.83643 -35.54081 -56.83954 -37.31983 
40.91309 -29.07523 -50.20500 -37.48880 
41.98975 -25.92983 -46.89330 -37.65510 
43.06641 -24.83012 -45.62992 -37.81876 
44.14307 -25.47416 -46.11292 -37.97980 
45.21973 -27.91254 -48.39285 -28.41696 
46.29639 -32.43739 -52.76182 -38.29414 
47.37305 -38.66774 -58.83880 -38.44750 
48.44971 -41.64246 -61.66265 -38.59838 
49.52637 -43.98671 -63.85848 -38.74680 
50.60303 -49.24159 -68.96735 -38.89281 
51.67969 -43.87850 -63.46061 -39.03646 
52.75635 -41.16081 -60.60160 -39.17777 
53.83301 -41.88624 -61.18799 -39.31681 
54.90967 -43.23718 -62.40214 -39.45360 
55.98633 -41.98864 -61.01901 -39.58820 
57.06299 -41.22617 -60.12409 -39.72064 
58.13965 -42.40325 -61.17084 -39.85098 
59.21631 -42.98056 -61.61988 -39.97924 
60.29297 -40.87104 -59.38412 -40.10548 
61.36963 -39.55219 -57.94102 -40.22974 
62.44629 -39.99586 -58.26237 -40.35206 
63.52295 -41.00048 -59.14657 -40.47248 
64.59961 -40.77468 -58.80222 -40.59103 
65.67627 -40.94479 -58.85559 -40.70777 
66.75293 -44.92209 -62.71794 -40.82272 
67.82959 -55.87673 -73.55936 -40.93594 
68.90625 -39.55102 -57.12214 -41.04745 
69.98291 -34.46348 -51.92475 -41.15729 
71.05957 -32.43502 -49.78809 -41.26550 
72.13623 -32.38318 -49.62963 -41.37212 
73.21289 -34.05771 -51.19910 -41.47717 
74.28955 -37.47601 -54.51387 -41.58071 
75.36621 -42.41680 -59.35262 -41.68274 
76.44287 -46.53218 -63.36742 -41.78333 
77.51953 -48.09461 -64.83069 -41.88248 
78.59619 -49.30473 -65.94305 -41.98024 
79.67285 -48.71546 -65.25739 -42.07664 
80.74951 -47.50629 -63.95316 -42.17170 
81.82617 -47.75349 -64.10659 -42.26547 
82.90283 -49.64739 -65.90800 -42.35796 
83.97949 -52.09573 -68.26510 -42.44920 
85.05615 -52.76941 -68.84875 -42.53923 
86.13281 -53.57665 -69.56714 -42.62808 
87.20947 -55.21244 -71.11524 -42.71576 
88.28613 -47.38113 -63.19739 -42.80231 
89.36279 -41.40548 -57.13629 -42.88775 
90.43945 -38.29771 -53.94416 -36.87844 
91.51611 -37.43554 -52.99869 -43.05542 
92.59277 -38.85106 -54.33193 -43.13770 
93.66943 -43.43248 -58.83208 -43.21897 
94.74609 -51.48772 -66.80703 -43.29926 
95.82275 -45.62108 -60.86106 -43.37859 
96.89941 -43.13642 -58.29799 -43.45699 
97.97607 -44.54139 -59.62547 -43.53448 
99.05273 -49.41368 -64.42116 -43.61109 
100.12939 -51.91425 -66.84600 -43.68682 
101.20605 -48.92884 -63.78569 -43.76172 
102.28271 -48.86209 -63.64487 -43.83579 
103.35938 -50.92181 -65.63131 -43.90907 
104.43604 -52.06364 -66.70064 -43.98157 
105.51270 -51.88489 -66.45015 -44.05331 
106.58936 -53.25707 -67.75132 -44.12431 
107.66602 -57.00234 -71.42630 -44.19461 
108.74268 -56.82655 -71.18092 -44.26420 
109.81934 -52.11745 -66.40290 -44.33313 
110.89600 -49.95194 -64.16911 -44.40140 
111.97266 -50.50378 -64.65332 -44.46903 
113.04932 -51.50932 -65.59184 -44.53605 
114.12598 -47.88621 -61.90230 -44.60247 
115.20264 -44.74978 -58.70003 -44.66832 
116.27930 -44.31896 -58.20392 -44.73361 
117.35596 -47.23133 -61.05154 -44.79836 
118.43262 -54.89137 -68.64735 -44.86258 
119.50928 -49.49018 -63.18244 -44.92631 
120.58594 -45.27862 -58.90763 -44.98955 
121.66260 -44.45324 -58.01948 -45.05233 
122.73926 -44.82579 -58.32970 -45.11466 
123.81592 -44.71595 -58.15797 -45.17656 
124.89258 -44.92237 -58.30289 -45.23804 
125.96924 -47.50736 -60.82680 -45.29913 
127.04590 -56.75732 -70.01605 -45.35984 
128.12256 -54.13481 -67.33319 -45.42019 
129.19922 -47.18447 -60.32284 -45.48019 
130.27588 -45.55317 -58.63186 -45.53987 
131.35254 -46.90946 -59.92879 -45.59924 
132.42920 -52.35339 -65.31366 -45.65831 
133.50586 -56.67388 -69.57535 -45.71710 
134.58252 -46.85731 -59.70025 -45.77563 
135.65918 -43.07239 -55.85705 -40.87980 
136.73584 -42.36129 -55.08790 -45.89196 
137.81250 -44.54722 -57.21598 -45.94980 
138.88916 -51.68264 -64.29377 -46.00744 
139.96582 -56.65524 -69.20892 -46.06489 
141.04248 -48.76026 -61.25666 -46.12217 
142.11914 -48.28884 -60.72811 -46.17930 
143.19580 -52.96801 -65.35029 -46.23629 
144.27246 -69.35242 -81.67784 -46.29315 
145.34912 -55.40302 -67.67169 -46.34990 
146.42578 -52.97500 -65.18701 -46.40656 
147.50244 -51.70295 -63.85839 -46.46313 
148.57910 -49.69702 -61.79596 -46.51963 
149.65576 -49.67515 -61.71765 -46.57608 
150.73242 -52.49058 -64.47666 -46.63248 
151.80908 -51.14040 -63.07011 -46.68886 
152.88574 -46.65219 -58.52555 -46.74522 
153.96240 -44.96977 -56.78677 -46.80157 
155.03906 -45.91040 -57.67104 -46.85793 
156.11572 -49.39791 -61.10216 -46.91432 
157.19238 -54.41039 -66.05822 -46.97074 
158.26904 -53.19555 -64.78692 -47.02720 
159.34570 -49.62800 -61.16284 -47.08372 
160.42236 -47.63842 -59.11668 -47.14030 
161.49902 -47.46399 -58.88559 -47.19697 
162.57568 -48.87696 -60.24180 -47.25372 
163.65234 -49.41659 -60.72459 -47.31057 
164.72900 -47.95785 -59.20888 -47.36753 
165.80566 -48.13292 -59.32687 -47.42461 
166.88232 -52.29590 -63.43264 -47.48182 
167.95898 -57.44846 -68.52786 -47.53917 
169.03564 -50.51341 -61.53532 -47.59666 
170.11230 -49.17302 -60.13728 -47.65430 
171.18896 -51.83584 -62.74230 -47.71211 
172.26562 -49.24635 -60.09482 -47.77010 
173.34229 -44.57538 -55.36570 -47.82826 
174.41895 -43.12351 -53.85548 -47.88660 
175.49561 -44.65382 -55.32725 -47.94514 
176.57227 -48.97852 -59.59321 -48.00388 
177.64893 -48.39620 -58.95194 -48.06282 
178.72559 -43.59442 -54.09101 -48.12198 
179.80225 -40.45179 -50.88900 -48.18135 
180.87891 -38.42258 -48.80020 -37.25395 
181.95557 -37.45427 -47.77207 -48.30078 
183.03223 -37.83448 -48.09221 -48.36083 
184.10889 -39.89903 -50.09647 -48.42113 
185.18555 -43.90825 -54.04516 -48.48166 
186.26221 -48.35185 -58.42798 -48.54244 
187.33887 -49.27427 -59.28938 -48.60346 
188.41553 -51.17047 -61.12430 -48.66474 
189.49219 -59.21187 -69.10418 -48.72627 
190.56885 -64.94167 -74.77218 -48.78805 
191.64551 -58.70869 -68.47717 -48.85009 
192.72217 -61.26366 -70.96984 -48.91239 
193.79883 -54.65059 -64.29421 -48.97495 
194.87549 -50.47680 -60.05761 -49.03776 
195.95215 -50.07666 -59.59439 -49.10084 
197.02881 -51.43125 -60.88564 -49.16418 
198.10547 -50.65478 -60.04556 -49.22778 
199.18213 -49.51548 -58.84240 -49.29165 
200.25879 -51.22160 -60.48440 -49.35577 
201.33545 -54.64065 -63.83906 -49.42015 
202.41211 -50.75369 -59.88747 -49.48479 
203.48877 -47.95380 -57.02268 -49.54968 
204.56543 -48.56224 -57.56598 -49.61483 
205.64209 -52.70627 -61.64460 -49.68024 
206.71875 -58.86407 -67.73674 -49.74589 
207.79541 -58.60056 -67.40734 -49.81179 
208.87207 -63.64488 -72.38551 -49.87794 
209.94873 -57.60838 -66.28263 -49.94432 
211.02539 -51.36310 -59.97072 -50.01095 
212.10205 -50.59286 -59.13363 -50.07780 
213.17871 -55.46559 -63.93926 -50.14489 
214.25537 -58.69396 -67.10032 -50.21221 
215.33203 -49.82049 -58.15931 -50.27975 
216.40869 -47.59415 -55.86521 -50.34751 
217.48535 -49.27795 -57.48104 -50.41548 
218.56201 -55.75207 -63.88698 -50.48366 
219.63867 -59.06418 -67.13071 -50.55204 
220.71533 -54.74485 -62.74280 -50.62062 
221.79199 -56.62756 -64.55673 -50.68940 
222.86865 -55.36780 -63.22800 -50.75837 
223.94531 -49.63173 -57.42278 -50.82751 
225.02197 -47.35510 -55.07683 -50.89684 
226.09863 -47.94715 -55.59938 -48.09939 
227.17529 -51.38270 -58.96528 -51.03600 
228.25195 -58.95340 -66.46615 -51.10582 
229.32861 -72.60213 -80.04490 -51.17579 
230.40527 -67.54760 -74.92025 -51.24591 
231.48193 -66.46655 -73.76894 -51.31618 
232.55859 -62.53972 -69.77171 -51.38658 
233.63525 -61.02550 -68.18696 -51.45710 
234.71191 -58.83597 -65.92679 -51.52775 
235.78857 -54.91090 -61.93095 -51.59852 
236.86523 -52.66328 -59.61245 -51.66939 
237.94189 -52.78598 -59.66418 -51.74037 
