%
time tacho F0-AR-ML-E F0-ML-E
0.12500 18.85838 12.26383 18.43781 
0.37500 10.04322 20.40607 10.09369 
0.62500 12.68440 32.93907 10.36285 
0.87500 15.07324 16.28448 16.31813 
1.12500 15.91438 31.76147 9.99275 
1.37500 16.70506 10.22827 10.19463 
1.62500 17.39479 17.37797 11.43951 
1.87500 17.66396 17.83218 11.74232 
2.12500 18.43781 18.38734 10.86754 
2.37500 18.92567 18.87520 18.79108 
2.62500 19.49764 19.43035 9.99275 
2.87500 20.06962 19.93504 11.92738 
3.12500 20.74253 20.60795 10.34603 
3.37500 21.51638 21.48273 9.99275 
3.62500 22.47528 22.25658 11.13670 
3.87500 23.41736 23.29960 9.99275 
4.12500 24.34261 24.17439 10.48061 
4.37500 25.20058 25.09964 9.99275 
4.62500 26.07536 25.97443 13.00404 
4.87500 27.01744 26.98380 11.38905 
5.12500 27.92587 27.82494 13.89565 
5.37500 28.86795 28.81748 11.48998 
5.62500 29.82685 29.70909 10.32921 
5.87500 30.75211 30.65117 15.30876 
6.12500 31.71101 31.57642 10.09369 
6.37500 32.60262 32.46803 10.81707 
6.62500 33.56152 33.44376 11.08624 
6.87500 34.52042 34.36901 10.73296 
7.12500 35.51296 35.32791 17.64713 
7.37500 36.48869 36.28681 11.32175 
7.62500 37.41394 37.26254 10.32921 
7.87500 38.35602 38.25508 11.96102 
8.12500 39.29810 39.21398 11.42269 
8.37500 40.17288 40.13924 10.11051 
8.62500 41.11496 41.03085 19.46400 
8.87500 42.04021 41.93928 13.12180 
9.12500 42.91500 42.84771 13.25638 
9.37500 43.78979 43.72250 12.51617 
9.62500 44.66457 44.54681 9.99275 
9.87500 45.47207 45.45525 14.46762 
10.12500 46.34686 46.27956 10.86754 
10.37500 47.18800 47.12070 11.05259 
10.62500 47.96185 47.94502 11.13670 
10.87500 48.80299 48.73569 11.54045 
11.12500 49.45908 49.49272 15.72933 
