%
f0Min F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 crlb
1.00000000 0.00003222 0.00007392 0.00004096 0.00001742 
1.25000000 0.00002889 0.00008025 0.00003346 0.00001753 
1.50000000 0.00002788 0.00007421 0.00002956 0.00001843 
1.75000000 0.00003018 0.00009688 0.00002841 0.00002090 
2.00000000 0.00003084 0.00007488 0.00003166 0.00001948 
2.25000000 0.00002910 0.00007832 0.00003035 0.00001694 
2.50000000 0.00002991 0.00007753 0.00002997 0.00001722 
2.75000000 0.00002409 0.00006615 0.00002447 0.00001729 
3.00000000 0.00003402 0.00006017 0.00003417 0.00001784 
3.25000000 0.00003389 0.00007855 0.00003467 0.00001740 
3.50000000 0.00002566 0.00007459 0.00002596 0.00001780 
3.75000000 0.00002789 0.00007020 0.00002901 0.00001755 
4.00000000 0.00003204 0.00006892 0.00003205 0.00001720 
4.25000000 0.00002322 0.00007678 0.00002328 0.00001697 
4.50000000 0.00002812 0.00008151 0.00002815 0.00001742 
4.75000000 0.00002872 0.00007930 0.00002869 0.00001690 
5.00000000 0.00002423 0.00006961 0.00002396 0.00001682 
5.25000000 0.00004019 0.00007002 0.00004019 0.00001713 
5.50000000 0.00002471 0.00006325 0.00002469 0.00001677 
5.75000000 0.00002713 0.00007377 0.00002718 0.00001680 
6.00000000 0.00002443 0.00007632 0.00002434 0.00001715 
6.25000000 0.00002174 0.00016957 0.00002183 0.00001671 
6.50000000 0.00002795 0.00007795 0.00002792 0.00001677 
6.75000000 0.00002885 0.00006576 0.00002881 0.00001670 
7.00000000 0.00003309 0.00007578 0.00003049 0.00001685 
7.25000000 0.00002547 0.00007778 0.00002532 0.00001661 
7.50000000 0.00003039 0.00007177 0.00003044 0.00001682 
7.75000000 0.00002103 0.00008761 0.00002109 0.00001663 
8.00000000 0.00002823 0.00006802 0.00002821 0.00001668 
