%
f0Min F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1
1.00000 0.00000 11.00000 10.00000 
1.25000 0.00000 3.00000 6.00000 
1.50000 0.00000 5.00000 3.00000 
1.75000 0.00000 3.00000 5.00000 
2.00000 0.00000 6.00000 5.00000 
2.25000 0.00000 3.00000 4.00000 
2.50000 0.00000 3.00000 5.00000 
2.75000 0.00000 6.00000 5.00000 
3.00000 0.00000 2.00000 3.00000 
3.25000 0.00000 1.00000 2.00000 
3.50000 0.00000 2.00000 3.00000 
3.75000 0.00000 6.00000 2.00000 
4.00000 0.00000 4.00000 1.00000 
4.25000 0.00000 1.00000 4.00000 
4.50000 0.00000 4.00000 2.00000 
4.75000 0.00000 0.00000 2.00000 
5.00000 0.00000 3.00000 1.00000 
5.25000 0.00000 0.00000 0.00000 
5.50000 0.00000 1.00000 1.00000 
5.75000 0.00000 0.00000 0.00000 
6.00000 0.00000 3.00000 0.00000 
6.25000 0.00000 2.00000 0.00000 
6.50000 0.00000 8.00000 0.00000 
6.75000 1.00000 5.00000 1.00000 
7.00000 0.00000 1.00000 1.00000 
7.25000 0.00000 1.00000 0.00000 
7.50000 0.00000 2.00000 0.00000 
7.75000 0.00000 1.00000 0.00000 
8.00000 0.00000 0.00000 0.00000 
