%
snr F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 crlb
-10.00000000 0.00031742 0.00031742 0.00031768 0.00010136 
-9.00000000 0.00014517 0.00014517 0.00014484 0.00009043 
-8.00000000 0.00011435 0.00011435 0.00011462 0.00008062 
-7.00000000 0.00009799 0.00009799 0.00009777 0.00007178 
-6.00000000 0.00008050 0.00008050 0.00008000 0.00006396 
-5.00000000 0.00007090 0.00007090 0.00007028 0.00005700 
-4.00000000 0.00006048 0.00006048 0.00006042 0.00005081 
-3.00000000 0.00005474 0.00005474 0.00005464 0.00004532 
-2.00000000 0.00004670 0.00004670 0.00004671 0.00004036 
-1.00000000 0.00003964 0.00003964 0.00004004 0.00003599 
0.00000000 0.00003492 0.00003492 0.00003491 0.00003201 
1.00000000 0.00003113 0.00003113 0.00003109 0.00002861 
2.00000000 0.00002602 0.00002602 0.00002598 0.00002548 
3.00000000 0.00002328 0.00002328 0.00002323 0.00002268 
4.00000000 0.00002105 0.00002105 0.00002104 0.00002026 
5.00000000 0.00001914 0.00001914 0.00001920 0.00001803 
6.00000000 0.00001638 0.00001638 0.00001637 0.00001609 
7.00000000 0.00001493 0.00001493 0.00001492 0.00001433 
8.00000000 0.00001277 0.00001277 0.00001282 0.00001277 
9.00000000 0.00001097 0.00001097 0.00001097 0.00001139 
10.00000000 0.00001021 0.00001021 0.00001029 0.00001015 
