%
f0Min F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1
1.00000 0.50000 5.60000 5.60000 
1.25000 0.40000 6.10000 5.30000 
1.50000 0.70000 5.20000 2.70000 
1.75000 0.40000 5.10000 1.70000 
2.00000 0.00000 4.90000 1.20000 
2.25000 0.10000 3.40000 0.70000 
2.50000 0.20000 2.90000 0.40000 
2.75000 0.60000 3.90000 0.80000 
3.00000 0.40000 3.40000 0.40000 
3.25000 0.20000 3.10000 0.40000 
3.50000 0.30000 3.70000 0.30000 
3.75000 0.30000 3.80000 0.40000 
4.00000 0.20000 3.40000 0.30000 
4.25000 0.40000 3.50000 0.40000 
4.50000 0.00000 2.80000 0.00000 
4.75000 0.00000 2.90000 0.00000 
5.00000 0.30000 2.30000 0.30000 
5.25000 0.20000 2.80000 0.30000 
5.50000 0.20000 2.80000 0.20000 
5.75000 0.00000 2.70000 0.00000 
6.00000 0.50000 2.90000 0.50000 
6.25000 0.10000 1.70000 0.10000 
6.50000 0.00000 2.40000 0.00000 
6.75000 0.00000 1.70000 0.00000 
7.00000 0.60000 1.90000 0.60000 
7.25000 0.30000 1.60000 0.30000 
7.50000 0.00000 1.90000 0.00000 
7.75000 0.30000 1.80000 0.30000 
8.00000 0.20000 1.80000 0.20000 
