%
snr F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1
-10.00000 0.30000 0.30000 0.50000 
-9.00000 0.30000 0.30000 0.30000 
-8.00000 0.00000 0.00000 0.00000 
-7.00000 0.10000 0.10000 0.20000 
-6.00000 0.00000 0.00000 0.00000 
-5.00000 0.00000 0.00000 0.00000 
-4.00000 0.10000 0.10000 0.10000 
-3.00000 0.00000 0.00000 0.00000 
-2.00000 0.00000 0.00000 0.00000 
-1.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 
1.00000 0.00000 0.00000 0.00000 
2.00000 0.00000 0.00000 0.00000 
3.00000 0.00000 0.00000 0.00000 
4.00000 0.00000 0.00000 0.00000 
5.00000 0.00000 0.00000 0.10000 
6.00000 0.00000 0.00000 0.00000 
7.00000 0.00000 0.00000 0.00000 
8.00000 0.00000 0.00000 0.00000 
9.00000 0.00000 0.00000 0.00000 
10.00000 0.00000 0.00000 0.00000 
