%
snr crlb F0-AR-ML-E Iterative
-10.00000000 0.00010379 0.00032302 0.00043053 
-9.00000000 0.00008850 0.00025513 0.00030397 
-8.00000000 0.00008049 0.00022220 0.00029066 
-7.00000000 0.00007270 0.00022174 0.00022762 
-6.00000000 0.00006271 0.00014467 0.00012544 
-5.00000000 0.00005605 0.00010984 0.00008444 
-4.00000000 0.00004963 0.00008395 0.00007511 
-3.00000000 0.00004466 0.00007453 0.00006614 
-2.00000000 0.00004025 0.00005846 0.00006074 
-1.00000000 0.00003600 0.00005448 0.00005833 
0.00000000 0.00003183 0.00004894 0.00004643 
1.00000000 0.00002843 0.00004650 0.00004402 
2.00000000 0.00002511 0.00003912 0.00004229 
3.00000000 0.00002207 0.00003485 0.00003623 
4.00000000 0.00002009 0.00003048 0.00003336 
5.00000000 0.00001781 0.00003217 0.00004038 
6.00000000 0.00001646 0.00002698 0.00003162 
7.00000000 0.00001435 0.00002436 0.00002727 
8.00000000 0.00001228 0.00001965 0.00002581 
9.00000000 0.00001135 0.00001829 0.00002370 
10.00000000 0.00000993 0.00001750 0.00002305 
