%
snr F0-AR-ML-E Iterative
-10.00000 11.65000 30.39000 
-9.00000 8.76000 28.00000 
-8.00000 5.55000 24.72000 
-7.00000 3.79000 22.79000 
-6.00000 2.32000 21.79000 
-5.00000 1.44000 21.74000 
-4.00000 1.14000 23.30000 
-3.00000 0.83000 23.37000 
-2.00000 0.48000 23.50000 
-1.00000 0.51000 23.11000 
0.00000 0.40000 22.18000 
1.00000 0.22000 20.56000 
2.00000 0.13000 20.93000 
3.00000 0.13000 18.18000 
4.00000 0.14000 17.02000 
5.00000 0.16000 14.65000 
6.00000 0.07000 12.11000 
7.00000 0.05000 9.44000 
8.00000 0.04000 6.63000 
9.00000 0.07000 5.18000 
10.00000 0.03000 4.04000 
