%
freq per preWhitenedPer modelledPsd
0.00000 -78.42307 -111.59917 -54.57045 
7.81250 -67.46925 -100.63169 -54.58411 
15.62500 -63.11729 -96.23901 -54.62483 
23.43750 -62.27248 -95.32712 -54.69190 
31.25000 -64.28683 -97.24921 -54.78417 
39.06250 -71.51742 -104.36386 -54.90011 
46.87500 -75.07116 -107.77980 -55.03792 
54.68750 -64.58654 -97.13751 -55.19557 
62.50000 -60.96419 -93.33978 -55.37096 
70.31250 -59.52585 -91.71048 -55.56192 
78.12500 -59.17812 -91.15835 -55.76632 
85.93750 -59.28914 -91.05356 -55.98212 
93.75000 -59.29295 -90.83208 -56.20741 
101.56250 -58.32511 -89.63123 -56.44042 
109.37500 -55.81324 -86.88023 -56.67956 
117.18750 -52.73038 -83.55355 -56.92338 
125.00000 -50.14657 -80.72248 -57.17064 
132.81250 -48.46574 -78.79207 -57.42022 
140.62500 -47.84262 -77.91799 -57.67118 
148.43750 -48.48017 -78.30401 -57.92270 
156.25000 -50.89792 -80.47036 -58.17410 
164.06250 -56.79529 -86.11705 -58.42479 
171.87500 -60.42865 -89.50091 -58.67428 
179.68750 -51.66611 -80.49046 -58.92219 
187.50000 -47.60969 -76.18806 -59.16818 
195.31250 -45.74207 -74.07662 -59.41200 
203.12500 -45.29421 -73.38733 -44.97621 
210.93750 -46.04251 -73.89674 -59.89231 
218.75000 -48.00944 -75.62745 -60.12853 
226.56250 -51.46671 -78.85126 -60.36199 
234.37500 -57.23249 -84.38640 -60.59264 
242.18750 -67.14257 -94.06868 -60.82043 
250.00000 -64.68034 -91.38154 -61.04535 
257.81250 -61.35908 -87.83824 -61.26740 
265.62500 -61.02151 -87.28148 -61.48657 
273.43750 -61.91038 -87.95401 -61.70291 
281.25000 -63.31381 -89.14392 -61.91644 
289.06250 -65.51353 -91.13289 -62.12719 
296.87500 -69.09661 -94.50796 -62.33520 
304.68750 -71.53135 -96.73736 -62.54054 
312.50000 -70.55061 -95.55392 -62.74323 
320.31250 -73.01545 -97.81865 -62.94335 
328.12500 -77.86810 -102.47370 -63.14094 
335.93750 -64.93960 -89.35009 -63.33606 
343.75000 -59.47349 -83.69128 -63.52876 
351.56250 -57.09646 -81.12390 -63.71910 
359.37500 -57.01933 -80.85874 -63.90714 
367.18750 -58.74437 -82.39798 -64.09294 
375.00000 -57.44110 -80.91110 -64.27654 
382.81250 -52.30186 -75.59040 -64.45800 
390.62500 -48.45335 -71.56252 -64.63738 
398.43750 -46.17233 -69.10415 -64.81473 
406.25000 -45.18695 -67.94341 -45.32853 
414.06250 -45.39747 -67.98050 -65.16352 
421.87500 -46.89574 -69.30722 -65.33506 
429.68750 -50.08471 -72.32649 -65.50477 
437.50000 -56.35948 -78.43334 -65.67269 
445.31250 -71.05386 -92.96155 -65.83885 
453.12500 -59.07969 -80.82293 -66.00331 
460.93750 -56.12070 -77.70114 -66.16611 
468.75000 -57.00867 -78.42794 -66.32728 
476.56250 -61.78944 -83.04912 -66.48686 
484.37500 -71.88537 -92.98701 -66.64490 
492.18750 -61.99174 -82.93686 -66.80143 
500.00000 -58.63149 -79.42157 -66.95647 
507.81250 -58.99582 -79.63229 -67.11008 
515.62500 -63.21857 -83.70284 -67.26227 
523.43750 -71.93238 -92.26584 -67.41309 
531.25000 -62.22020 -82.40419 -67.56255 
539.06250 -58.29686 -78.33271 -67.71070 
546.87500 -57.84890 -77.73789 -67.85755 
554.68750 -60.68753 -80.43093 -68.00315 
562.50000 -68.96875 -88.56780 -68.14750 
570.31250 -61.16836 -80.62426 -68.29064 
578.12500 -55.13992 -74.45387 -68.43260 
585.93750 -52.25697 -71.43013 -68.57339 
593.75000 -51.06079 -70.09429 -68.71304 
601.56250 -51.07151 -69.96648 -68.85158 
609.37500 -52.10913 -70.86666 -51.33262 
617.18750 -54.15087 -72.77204 -69.12538 
625.00000 -57.35770 -75.84357 -69.26068 
632.81250 -62.35568 -80.70728 -69.39495 
640.62500 -72.16200 -90.38034 -69.52820 
648.43750 -75.48019 -93.56629 -69.66045 
656.25000 -67.25620 -85.21103 -69.79172 
664.06250 -65.24532 -83.06985 -69.92202 
671.87500 -65.93537 -83.63054 -70.05138 
679.68750 -69.34560 -86.91234 -70.17980 
687.50000 -76.63271 -94.07196 -70.30731 
695.31250 -74.17065 -91.48329 -70.43391 
703.12500 -70.01630 -87.20322 -70.55962 
710.93750 -69.89847 -86.96056 -70.68446 
718.75000 -74.06508 -91.00319 -70.80844 
726.56250 -88.79041 -105.60539 -70.93157 
734.37500 -73.16904 -89.86173 -71.05386 
742.18750 -69.29135 -85.86256 -71.17534 
750.00000 -69.82051 -86.27106 -71.29600 
757.81250 -77.13803 -93.46871 -71.41586 
765.62500 -74.97642 -91.18803 -71.53494 
773.43750 -65.04099 -81.13429 -71.65324 
781.25000 -60.73215 -76.70792 -71.77078 
789.06250 -58.55594 -74.41493 -71.88755 
796.87500 -57.71354 -73.45650 -72.00359 
804.68750 -57.87086 -73.49852 -72.11889 
812.50000 -58.83488 -74.34797 -58.11226 
820.31250 -60.48113 -75.88037 -72.34731 
828.12500 -62.79906 -78.08514 -72.46046 
835.93750 -66.05971 -81.23335 -72.57291 
843.75000 -71.19992 -86.26179 -72.68467 
851.56250 -80.63907 -95.58987 -72.79575 
859.37500 -77.30401 -92.14441 -72.90615 
867.18750 -73.15935 -87.89000 -73.01589 
875.00000 -73.01173 -87.63330 -73.12497 
882.81250 -75.91027 -90.42342 -73.23340 
890.62500 -79.33580 -93.74116 -73.34119 
898.43750 -76.24368 -90.54189 -73.44834 
906.25000 -74.42096 -88.61263 -73.55487 
914.06250 -76.01837 -90.10415 -73.66077 
921.87500 -78.08337 -92.06386 -73.76606 
