%
time clean F0-AR-ML-E F0-ML-E
0.01250 NaN NaN 60.05859 
0.03750 NaN NaN 91.79688 
0.06250 NaN NaN 85.44922 
0.08750 NaN NaN 73.73047 
0.11250 209.96094 NaN 69.82422 
0.13750 207.51953 207.03125 68.84766 
0.16250 197.75391 NaN 64.94141 
0.18750 NaN NaN 60.05859 
0.21250 NaN NaN 60.05859 
0.23750 NaN NaN 74.70703 
0.26250 NaN NaN 67.87109 
0.28750 175.29297 NaN 67.87109 
0.31250 NaN NaN 65.91797 
0.33750 260.25391 260.25391 64.94141 
0.36250 272.94922 272.46094 90.82031 
0.38750 281.73828 281.73828 70.31250 
0.41250 290.03906 290.03906 96.67969 
0.43750 291.50391 291.99219 73.24219 
0.46250 283.20312 276.36719 68.35938 
0.48750 NaN NaN 60.05859 
0.51250 NaN NaN 64.94141 
0.53750 NaN NaN 66.40625 
0.56250 NaN NaN 67.38281 
0.58750 NaN 395.01953 60.54688 
0.61250 249.51172 250.00000 62.98828 
0.63750 NaN NaN 79.10156 
0.66250 214.84375 NaN 66.40625 
0.68750 222.65625 NaN 90.33203 
0.71250 214.35547 NaN 73.24219 
0.73750 220.21484 NaN 88.86719 
0.76250 237.30469 237.30469 78.61328 
0.78750 229.00391 NaN 76.17188 
0.81250 NaN NaN 61.03516 
0.83750 NaN NaN 64.45312 
0.86250 NaN 69.33594 70.80078 
0.88750 NaN NaN 60.05859 
0.91250 NaN NaN 70.80078 
0.93750 251.95312 NaN 256.34766 
0.96250 240.72266 240.72266 241.21094 
0.98750 232.42188 232.91016 232.91016 
1.01250 229.98047 229.98047 229.98047 
1.03750 230.46875 230.46875 229.49219 
1.06250 230.46875 230.46875 76.17188 
1.08750 NaN NaN 80.07812 
1.11250 NaN NaN 60.05859 
1.13750 NaN NaN 70.31250 
1.16250 NaN NaN 90.82031 
1.18750 NaN NaN 74.21875 
1.21250 NaN NaN 67.87109 
1.23750 NaN 133.30078 65.91797 
1.26250 NaN NaN 78.61328 
1.28750 220.21484 219.23828 72.75391 
1.31250 203.61328 203.61328 101.56250 
1.33750 200.19531 200.19531 199.70703 
1.36250 201.66016 201.17188 67.38281 
1.38750 205.56641 205.56641 205.07812 
1.41250 215.33203 214.84375 107.42188 
1.43750 NaN NaN 64.45312 
1.46250 NaN NaN 109.86328 
1.48750 NaN NaN 68.35938 
1.51250 NaN NaN 75.19531 
1.53750 NaN 67.38281 65.42969 
1.56250 NaN 76.17188 72.26562 
1.58750 209.47266 209.47266 70.31250 
1.61250 206.54297 NaN 72.26562 
1.63750 212.89062 212.40234 71.28906 
1.66250 213.86719 213.86719 105.46875 
1.68750 215.33203 215.33203 72.26562 
1.71250 214.35547 213.86719 106.44531 
1.73750 207.03125 67.38281 67.38281 
1.76250 NaN NaN 76.17188 
1.78750 NaN NaN 69.82422 
1.81250 NaN 116.69922 116.69922 
1.83750 NaN NaN 60.05859 
1.86250 NaN NaN 60.05859 
1.88750 229.00391 229.00391 76.66016 
1.91250 208.49609 208.49609 208.49609 
1.93750 202.14844 202.14844 67.38281 
1.96250 197.75391 197.75391 198.24219 
1.98750 194.82422 195.31250 194.82422 
2.01250 187.98828 189.45312 62.98828 
2.03750 NaN NaN 71.77734 
2.06250 NaN NaN 82.51953 
2.08750 NaN NaN 82.51953 
2.11250 NaN NaN 63.47656 
2.13750 185.54688 NaN 62.01172 
2.16250 174.80469 173.82812 64.94141 
2.18750 NaN NaN 95.70312 
2.21250 NaN NaN 68.35938 
2.23750 NaN NaN 60.54688 
2.26250 NaN NaN 108.39844 
2.28750 NaN NaN 60.05859 
2.31250 NaN NaN 72.75391 
2.33750 NaN NaN 94.23828 
2.36250 NaN NaN 64.94141 
2.38750 NaN NaN 64.94141 
2.41250 NaN NaN 65.42969 
2.43750 NaN NaN 63.96484 
2.46250 NaN NaN 86.42578 
2.48750 NaN NaN 60.05859 
